"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05"
"Ivan Rabb_MEM",NA,NA,0,NA,0,0,0,NA
"Isaiah Hicks_NY",NA,NA,0,NA,NA,NA,0,NA
"Ron Baker_NY",NA,NA,0,NA,NA,NA,0,NA
"Luke Kornet_NY",NA,NA,0,NA,NA,NA,0,NA
"Marcus Paige_CHA",NA,NA,0,NA,0,NA,0,NA
"Mangok Mathiang_CHA",NA,NA,0,NA,0,NA,0,NA
"Johnny O'Bryant III_CHA",NA,NA,0,NA,0,NA,0,NA
"Julyan Stone_CHA",NA,NA,0,NA,0,NA,0,NA
"Treveon Graham_CHA",NA,NA,0,NA,0,NA,0,NA
"JaVale McGee_GS",10,NA,0,NA,0,NA,15,NA
"Quinn Cook_GS",0,NA,0,NA,0,NA,0,NA
"Chris Boucher_GS",0,NA,0,NA,0,NA,0,NA
"Damian Jones_GS",0,NA,0,NA,0,NA,0,NA
"Kevon Looney_GS",1,NA,11,NA,2,NA,1.25,NA
"Patrick Beverley_LAC",0,NA,NA,0,NA,0,NA,NA
"Aaron Brooks_MIN",NA,4.25,7.75,NA,0,NA,0,NA
"Marcus Georges-Hunt_MIN",NA,0,0,NA,0,NA,0,NA
"Justin Patton_MIN",NA,0,0,NA,0,NA,0,NA
"Anthony Brown_MIN",NA,0,0,NA,0,NA,0,NA
"Cole Aldrich_MIN",NA,0,0,NA,0,NA,0,NA
"Jawun Evans_LAC",8.5,NA,NA,15,NA,9.25,NA,NA
"Brice Johnson_LAC",0,NA,NA,0,NA,6.75,NA,NA
"CJ Williams_LAC",11.75,NA,NA,10,NA,11.75,NA,NA
"Willie Reed_LAC",2.75,NA,NA,16.25,NA,2,NA,NA
"Joel Bolomboy_MIL",NA,0,NA,0,NA,0,0,NA
"DJ Wilson_MIL",NA,7.5,NA,0,NA,0,0,NA
"Jason Terry_MIL",NA,12,NA,6,NA,10.75,7.25,NA
"Sterling Brown_MIL",NA,0,NA,0,NA,0,0,NA
"Rashad Vaughn_MIL",NA,0,NA,0,NA,0,0,NA
"Gary Payton II_MIL",NA,1,NA,0,NA,0,0,NA
"Eric Moreland_DET",NA,NA,19.5,NA,0.75,2.25,6.75,NA
"Jon Leuer_DET",NA,NA,0,NA,0,0,0,NA
"Henry Ellenson_DET",NA,NA,8,NA,0,0,0,NA
"Dwight Buycks_DET",NA,NA,0,NA,0,0,0,NA
